457,226,508,205,556,221,565,205,502,183,450,209,####STRAWBERRY
485,381,525,379,522,358,486,358,####250
716,249,763,248,759,228,717,231,####SALTED
683,274,780,260,776,245,689,241,####CARAMElh
680,323,714,321,715,300,677,299,####495
835,282,872,279,870,257,834,258,####395
953,212,1015,207,1013,197,951,200,#######
1043,211,1113,209,1117,193,1041,198,#######
1013,246,1047,244,1046,217,1011,219,####350
966,344,1106,341,1103,310,961,312,####SUNDAE
491,453,534,447,531,426,485,431,####REO
539,454,599,450,599,429,539,433,#######
462,503,499,502,494,481,459,482,####450
724,447,753,428,788,423,788,403,747,403,710,426,####GREEN
798,425,820,433,833,440,845,423,824,409,801,405,####TEA
673,504,712,505,715,483,677,487,####599
939,413,982,411,980,394,933,395,####BUILD
989,409,1027,410,1026,395,987,394,####YOUR
1035,410,1066,409,1067,393,1030,394,####OWn
1075,409,1145,407,1144,390,1074,391,####DESSERT
926,511,961,510,963,489,923,488,####250
931,560,967,557,963,536,926,535,####350
1027,536,1056,536,1054,516,1022,517,####150
745,450,807,443,802,432,743,437,#######
134,713,175,714,182,681,130,685,#######
195,707,299,709,294,681,191,683,#######
307,712,372,710,373,676,311,680,#######
