475,267,505,267,535,267,535,253,505,253,475,253,####PROOF
161,205,212,205,262,205,262,184,212,184,161,184,####CHOICE
270,205,327,205,383,205,383,183,327,183,270,183,####SCOTCH
395,204,446,204,496,204,496,184,446,184,395,184,####WHISKY
135,281,186,281,236,281,236,264,186,264,135,264,####SCOTLAND
132,263,170,263,208,263,208,248,170,248,132,248,####PRODUCT
240,176,329,176,417,176,417,152,329,152,240,152,####BUCHANANS
338,227,364,227,390,227,390,214,364,214,338,214,####BLEND
258,226,290,226,322,226,322,214,290,214,258,214,####SPECIAL
453,266,462,266,471,266,471,253,462,253,453,253,#######
221,262,233,262,244,262,244,250,233,250,221,250,####OF
315,121,346,121,376,121,376,42,346,42,315,42,#######
114,211,210,142,297,126,277,50,170,66,69,138,####Black
399,124,469,149,561,218,603,163,508,75,400,45,####White
229,494,430,491,425,470,230,469,#######
