69,97,112,72,159,61,156,43,112,50,62,79,####CUCINA
170,63,187,63,186,44,168,43,#######
196,65,215,67,246,79,250,59,224,49,201,43,####BAR
34,204,275,179,265,85,37,110,####SOPRA
6,191,54,181,57,164,5,172,####APERTIV
304,176,361,185,358,170,307,161,####PROSECCO
320,199,373,208,372,192,320,182,####FORMAGGI
393,192,420,196,419,183,392,177,####DOLCI
393,210,441,217,438,204,392,196,####DIGESTIVO
454,205,485,211,483,197,453,191,####CUCINA
484,210,511,216,509,201,485,196,####ITALIA
462,223,501,231,500,215,464,210,####BIRRERIA
