502,297,531,286,566,273,622,271,623,250,602,250,546,259,493,275,####PERUMAHAN
633,274,679,272,712,282,712,258,687,253,632,247,####KASTAM
721,285,733,291,762,302,808,320,809,299,773,282,724,263,####MALAYSIA
517,386,543,387,544,367,509,364,####NO
567,390,588,387,586,368,564,368,####24
594,390,639,390,636,368,600,368,####24-A
650,392,687,392,686,374,646,375,####24-B
695,392,717,393,715,373,694,374,####26
726,395,767,394,758,376,722,376,####26-A
772,397,808,399,809,377,769,377,####26-B
614,415,672,417,672,397,608,394,####PEPYS
677,419,729,418,727,399,677,398,####ROAD
588,440,694,443,693,422,586,417,####SINGAPORE
701,444,758,446,754,422,701,423,####118453
