6,307,35,312,36,285,14,283,####85
302,331,323,334,326,310,299,309,####13
327,336,353,336,353,310,326,310,####85
257,325,278,327,276,307,254,306,####RM
17,362,77,357,79,342,15,342,####GRAIN
18,420,42,414,36,368,6,378,####y
6,479,98,466,88,384,3,402,####LD
8,506,91,479,83,460,5,475,####akes
168,362,226,362,232,330,157,327,####Nes
240,393,349,407,358,372,229,359,####Nestle
368,413,444,413,439,398,370,387,####WHOLE
442,417,508,428,511,404,445,399,####GRAIn
425,402,472,404,472,380,421,378,####MADE
474,404,519,404,516,387,471,384,####WITH
282,583,376,546,362,488,255,526,####KoKO
382,553,454,549,537,577,564,527,468,493,374,491,####KRUNCH
410,586,468,597,472,573,406,565,####GREAT
321,609,365,601,407,603,410,583,359,582,311,589,####CHOCOLATEY
412,609,462,616,462,597,409,586,####TASTE
600,579,652,564,695,582,694,535,635,511,590,518,####RUNCh
606,484,704,499,700,463,608,448,####UAKER
3,696,50,699,46,674,9,677,#######
3,714,50,713,53,696,8,699,#######
184,708,240,707,232,665,187,665,#######
252,752,314,749,311,734,248,734,####VITAMINS
252,785,332,787,329,749,245,752,#######
579,867,649,865,664,841,579,833,####HOT
579,889,653,889,659,867,576,861,####BUy
667,877,725,885,728,868,662,858,####Quaker
725,886,798,900,799,880,730,868,####Crunchy
603,921,644,927,646,906,603,900,####EACh
599,947,640,953,638,930,600,921,####RM
647,950,760,974,778,921,652,892,####599
222,521,240,508,222,457,190,473,####K
594,600,682,618,685,591,599,576,####GoldenHoney
94,880,115,885,116,864,95,862,####11
116,888,139,888,137,870,116,867,####20
326,918,344,924,346,904,326,901,####11
347,919,371,924,373,901,346,898,####20
