87,152,119,105,168,80,149,37,85,72,40,123,####REAL
196,68,265,93,318,157,363,131,296,52,206,22,####COFFEE
184,113,232,116,229,78,184,75,#######
135,151,193,157,189,121,129,116,####Tea
203,158,282,161,283,126,201,118,####Cafe
47,221,82,221,82,188,46,184,####10
108,224,318,227,317,191,103,187,####METERS
124,270,277,270,275,238,130,233,####AHEAD
62,310,174,312,176,274,57,269,####TURN
194,314,329,314,328,278,194,275,####RIGHT
173,350,223,351,224,315,180,316,####IN
54,388,204,389,198,355,55,351,####SMALL
217,390,336,392,338,354,218,354,####ALLEY
