1392,345,1960,588,1931,397,1375,125,####EZYS
1387,449,1578,519,1589,444,1398,351,####KTV
1595,554,1937,704,1954,623,1607,449,####LOUNGE
1056,612,1294,699,1294,571,1045,455,#######
1317,722,1439,745,1439,629,1288,571,####OK
1618,832,1717,878,1723,745,1601,699,####1st
1717,855,1972,971,1977,861,1734,751,####FLOOR
1016,948,1613,1092,1653,867,1062,652,####KARAOKE
1636,1139,1943,1260,1972,988,1641,884,####ROOM
1502,1567,1763,1585,1746,1330,1502,1295,####KL
1358,1481,1479,1712,1705,1805,1891,1620,1798,1510,1647,1666,1537,1602,1456,1440,####BananaLeaf
147,1886,466,1828,460,1701,153,1747,####JALAN
518,1828,605,1811,610,1683,495,1706,####2
686,1805,859,1764,848,1654,657,1683,####109
929,1776,1010,1759,987,1631,900,1649,####F
355,1927,773,1880,755,1788,344,1857,#######
1265,3045,1381,3045,1381,2396,1271,2297,#######
1282,4435,1381,4116,1398,3097,1219,3207,#######
