166,308,197,308,227,308,227,256,197,256,166,256,####10p
239,278,259,278,278,278,278,260,259,260,239,260,####NOW
278,278,290,278,302,278,302,262,290,262,278,262,####ON
47,307,103,314,131,58,81,52,####THROWDOWN
345,327,404,329,402,89,350,82,####THURSDAY
190,159,250,136,302,155,304,122,251,98,177,107,####WildN
216,180,289,186,285,147,226,136,####Out
162,245,231,247,233,203,170,201,####AUG
250,252,303,251,303,207,244,208,####4TH
50,440,83,441,82,404,45,402,####L
137,442,220,444,228,407,133,405,####EY
199,87,232,87,231,70,199,66,####NEW
234,89,288,93,287,77,235,71,####SEASON
238,317,297,322,297,281,239,272,####MTV
322,450,400,450,400,408,332,406,#######
